room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
5345806,1454,27703604,Entire home/apt,,Belgium,Antwerpen,Antwerpen,29,4.5,4,1.0,,49.0,,Spacious apartment with big garden,2017-07-14 17:16:27.991034,51.197661,4.442822,0101000020E610000018CC5F2173C51140EA58A5F44C994940
19043681,1454,132916806,Entire home/apt,,Belgium,Antwerpen,Antwerpen,0,0.0,4,0.0,,58.0,,Bright apartment in Antwerp,2017-07-14 17:16:26.054944,51.196999,4.424537,0101000020E61000008FC4CBD3B9B211401F2C634337994940
9286569,1454,15651565,Entire home/apt,,Belgium,Mechelen,Lier,5,5.0,4,2.0,,59.0,,"Centraal,zonnig,appartement, 1 jaar te huur",2017-07-14 17:16:26.051409,51.135198,4.572674,0101000020E6100000F913950D6B4A1240083E062B4E914940
14674831,1454,91218704,Entire home/apt,,Belgium,Mechelen,Berlaar,12,4.5,4,2.0,,59.0,,Chalet in groene oase,2017-07-14 17:16:26.049066,51.116603,4.654608,0101000020E6100000C4CC3E8F519E1240C8CEDBD8EC8E4940
17541313,1454,21216304,Entire home/apt,,Belgium,Antwerpen,Antwerpen,1,0.0,2,1.0,,53.0,,Bart's place @ Borgerhout.,2017-07-14 17:16:26.041923,51.213803,4.450855,0101000020E6100000CBF3E0EEACCD1140B2648EE55D9B4940
8578153,1454,45146501,Entire home/apt,,Belgium,Turnhout,Herselt,12,5.0,4,0.0,,44.0,,Natuur en rust,2017-07-14 17:16:21.483834,51.057937,4.900368,0101000020E6100000B075A911FA9913403B1DC87A6A874940
18230851,1454,125929442,Entire home/apt,,Belgium,Turnhout,Geel,4,4.5,5,2.0,,53.0,,appartement,2017-07-14 17:16:21.480577,51.153247,4.992355,0101000020E61000009C16BCE82BF81340E59A02999D934940
7738154,1454,5444450,Entire home/apt,,Belgium,Antwerpen,Antwerpen,24,5.0,2,1.0,,58.0,,Zonnig appartement met loftgevoel,2017-07-14 17:16:15.475620,51.212794,4.42732,0101000020E6100000F6B4C35F93B511407C6473D53C9B4940
11394026,1454,15780394,Entire home/apt,,Belgium,Antwerpen,Antwerpen,18,4.5,2,1.0,,59.0,,Cosy apartment,2017-07-14 17:16:15.458268,51.212389,4.429963,0101000020E6100000CFF57D3848B81140DC8310902F9B4940
956076,1454,5195596,Entire home/apt,,Belgium,Brussel,Vorst,12,5.0,2,1.0,,57.0,,Studio du Zodiaque,2017-07-14 17:16:13.122714,50.818868,4.343161,0101000020E6100000F60CE198655F1140D7DEA7AAD0684940
5160881,1454,26690440,Entire home/apt,,Belgium,Brussel,Ukkel,27,4.5,2,2.0,,57.0,,Charmant appartement 1er étage,2017-07-14 17:16:13.114419,50.776136,4.330031,0101000020E61000002AAA7EA5F3511140C79FA86C58634940
16490996,1454,4966654,Entire home/apt,,Belgium,Halle-Vilvoorde,Wemmel,0,0.0,3,0.0,,47.0,,Charmant studio à deux pas du Heyzel,2017-07-14 17:16:13.111684,50.902392,4.316334,0101000020E61000009373620FED4311400516C09481734940
18645690,1454,57096392,Entire home/apt,,Belgium,Brussel,Elsene,4,4.5,2,1.0,,46.0,,Appartement très lumineux !,2017-07-14 17:16:13.109056,50.833373,4.367225,0101000020E61000002B1895D409781140492F6AF7AB6A4940
17755377,1454,14393283,Entire home/apt,,Belgium,Brussel,Brussel,9,5.0,2,1.0,,58.0,,Panoramic Penthouse @ City Centre,2017-07-14 17:16:13.093837,50.8338,4.342542,0101000020E610000096067E54C35E1140D0B359F5B96A4940
15562540,1454,44320091,Entire home/apt,,Belgium,Antwerpen,Antwerpen,0,0.0,2,1.0,,59.0,,Cosy apartment in the heart of Antwerp!,2017-07-14 17:16:13.090372,51.213456,4.397204,0101000020E61000008E5C37A5BC9611404791B586529B4940
15176960,1454,96326054,Entire home/apt,,Belgium,Brussel,Etterbeek,40,4.0,2,0.0,,59.0,,Studio Merode Cinquentenaire,2017-07-14 17:16:13.078942,50.837596,4.388926,0101000020E6100000A2410A9E428E114055A18158366B4940
9293734,1454,48252498,Entire home/apt,,Belgium,Antwerpen,Antwerpen,12,4.5,2,1.0,,48.0,,App. close to central station,2017-07-14 17:16:10.934167,51.215786,4.432673,0101000020E6100000E77283A10EBB1140A3772AE09E9B4940
8352282,1454,22997055,Entire home/apt,,Belgium,Brussel,Brussel,10,5.0,2,1.0,,60.0,,Appartement Brussels/Laeken/expo,2017-07-14 17:16:10.925994,50.877564,4.349027,0101000020E610000019AF795567651140CF12640454704940
16239377,1454,7089429,Entire home/apt,,Belgium,Antwerpen,Antwerpen,21,5.0,1,1.0,,44.0,,Studio in Antwerp (South),2017-07-14 17:16:10.904843,51.204783,4.39888,0101000020E61000002A1DACFF739811406DE34F54369A4940
19503770,1454,89154576,Entire home/apt,,Belgium,Brussel,Elsene,0,0.0,2,0.0,,59.0,,Studio à Saint-Gilles,2017-07-14 17:16:10.897884,50.821881,4.350957,0101000020E61000008735954561671140151A886533694940
15304578,1454,32076661,Entire home/apt,,Belgium,Brussel,Ukkel,59,4.5,2,1.0,,50.0,,The apartment is bright and strategic to Uccle.,2017-07-14 17:16:10.884100,50.81102,4.339621,0101000020E6100000A723809BC55B11407233DC80CF674940
6427402,1454,7358301,Entire home/apt,,Belgium,Brussel,Schaarbeek,4,4.5,3,1.0,,47.0,,Cozy apartment for rent,2017-07-14 17:16:05.879617,50.849718,4.392877,0101000020E6100000026729594E9211404969368FC36C4940
6797111,1454,18628261,Entire home/apt,,Belgium,Brussel,Sint-Joost-ten-Node,126,4.5,5,1.0,,47.0,,The Fig Tree apartment @Botanique,2017-07-14 17:16:05.876928,50.856062,4.371664,0101000020E6100000F566D47C957C114097AC8A70936D4940
9587022,1454,21116250,Entire home/apt,,Belgium,Brussel,Schaarbeek,55,4.5,4,1.0,,58.0,,Cosy and lighty appartment Botanic Garden Brussels,2017-07-14 17:16:05.874194,50.858483,4.367973,0101000020E6100000793E03EACD78114003965CC5E26D4940
4678101,1454,1321998,Entire home/apt,,Belgium,Brussel,Elsene,15,4.5,2,2.0,,53.0,,Arti Apart Louise/Flagey/Center,2017-07-14 17:16:05.866257,50.830035,4.365659,0101000020E6100000C7F319506F76114087C43D963E6A4940
18659884,1454,41346152,Entire home/apt,,Belgium,Halle-Vilvoorde,Hoeilaart,2,0.0,4,2.0,,47.0,,"The watermill of Hoeilaart (120 sqm, big garden)",2017-07-14 17:16:02.774724,50.766248,4.459958,0101000020E61000006022DE3AFFD611400D501A6A14624940
12789026,1454,24005022,Entire home/apt,,Belgium,Brussel,Elsene,1,0.0,6,2.0,,47.0,,Nice flat (2bedrooms)  front of  university,2017-07-14 17:16:02.757990,50.813585,4.384913,0101000020E610000093382BA2268A114012C2A38D23684940
5560244,1454,28824178,Entire home/apt,,Belgium,Brussel,Elsene,44,5.0,2,2.0,,59.0,,Spacious suite off Avenue Louise,2017-07-14 17:15:56.595370,50.822385,4.368537,0101000020E6100000BC7669C36179114048DC63E943694940
6181861,1454,10231979,Entire home/apt,,Belgium,Brussel,Brussel,42,5.0,2,0.0,,58.0,,Charming top-floor flat Grand Place,2017-07-14 17:15:56.588636,50.845216,4.353138,0101000020E61000003FE603029D6911402907B309306C4940
19794905,1454,19437975,Entire home/apt,,Belgium,Brussel,Elsene,0,0.0,2,1.0,,59.0,,Spacious Duplex in the heart of Brussels,2017-07-14 17:15:56.586290,50.837366,4.36627,0101000020E610000010069E7B0F771140246420CF2E6B4940
12067523,1454,64649502,Entire home/apt,,Belgium,Brussel,Ukkel,41,4.5,4,1.0,,50.0,,Self-contained apt Ground floor free Parking/INTE,2017-07-14 17:15:56.578885,50.794832,4.361457,0101000020E61000001EA4A7C8217211403AE8120EBD654940
982587,1454,995442,Entire home/apt,,Belgium,Brussel,Brussel,40,4.0,2,1.0,,49.0,,Studio between EU & Central Station,2017-07-14 17:15:56.574244,50.848413,4.367579,0101000020E610000019C91EA166781140294014CC986C4940
1865403,1454,4324902,Entire home/apt,,Belgium,Brussel,Sint-Joost-ten-Node,104,4.0,4,1.0,,47.0,,"Noisy, cozy flat EU AREA (July &  Aug noise free!)",2017-07-14 17:15:56.571126,50.849731,4.379718,0101000020E610000064CF9ECBD4841140DDB243FCC36C4940
18512923,1454,48841438,Entire home/apt,,Belgium,Brussel,Elsene,6,4.5,3,1.0,,46.0,,"Brussels welcomes you Bienvenue Welkom Bienvenido,",2017-07-14 17:15:56.557363,50.834551,4.371146,0101000020E6100000352A70B20D7C11400BEC3191D26A4940
8268347,1454,42115543,Entire home/apt,,Belgium,Brussel,Ukkel,190,4.5,3,1.0,,59.0,,Penthouse in Parvis de St Pierre,2017-07-14 17:15:50.879053,50.803298,4.338889,0101000020E610000086E5CFB7055B11409A780778D2664940
796763,1454,995442,Entire home/apt,,Belgium,Brussel,Brussel,24,4.5,2,1.0,,49.0,,Romantic studio flat in centre (EU),2017-07-14 17:15:50.855843,50.849545,4.36657,0101000020E610000065C746205E7711407BBDFBE3BD6C4940
7447660,1454,39006528,Entire home/apt,,Belgium,Antwerpen,Antwerpen,51,4.5,3,1.0,,59.0,,Charming Apartment in City Center,2017-07-14 17:15:50.853067,51.224536,4.412939,0101000020E6100000C6F8307BD9A6114028637C98BD9C4940
18146639,1454,19498256,Entire home/apt,,Belgium,Antwerpen,Antwerpen,3,5.0,2,1.0,,53.0,,"Leuk, groen en gezellig appartement in Deurne.",2017-07-14 17:15:45.820999,51.221542,4.472419,0101000020E61000003E096CCEC1E311406058FE7C5B9C4940
18676223,1454,44184158,Entire home/apt,,Belgium,Brussel,Sint-Gillis,5,5.0,4,2.0,,53.0,,Bel appartement spacieux et lumineux,2017-07-14 17:15:45.818842,50.823626,4.3451,0101000020E6100000FE65F7E4616111405111A7936C694940
14945781,1454,92038312,Entire home/apt,,Belgium,Antwerpen,Antwerpen,4,4.0,2,1.0,,59.0,,"Authentiek, gezellig appartement in het centrum",2017-07-14 17:15:45.816242,51.223211,4.419528,0101000020E610000070067FBF98AD1140C18D942D929C4940
10922892,1454,48884544,Entire home/apt,,Belgium,Brussel,Ukkel,26,4.5,2,1.0,,59.0,,Superbe flat dans un parc privé,2017-07-14 17:15:45.795218,50.803173,4.355748,0101000020E61000003A782634496C1140DE03745FCE664940
19739745,1454,87531493,Entire home/apt,,Belgium,Brussel,Etterbeek,0,0.0,4,1.0,,59.0,,Bruxelles ma Belle,2017-07-14 17:15:45.790831,50.829982,4.394439,0101000020E61000005A1135D1E79311406422A5D93C6A4940
8169944,1454,23171869,Entire home/apt,,Belgium,Mechelen,Mechelen,34,4.5,2,0.0,,53.0,,Studio Canal view close to center,2017-07-14 17:15:40.391589,51.021724,4.470192,0101000020E6100000035DFB027AE11140E7C41EDAC7824940
19664716,1454,3538185,Entire home/apt,,Belgium,Brussel,Sint-Gillis,0,0.0,3,2.0,,53.0,,Marvelous garden,2017-07-14 17:15:40.388606,50.824453,4.347708,0101000020E6100000F33AE2900D641140670B08AD87694940
